facet_group,facet_value,display_label,patterns,notes
endpoint,liver_histology,Liver histology,fibrosis||steatosis||ALT||AST||liver enzyme,
endpoint,blood_pressure,Blood pressure,blood pressure||systolic||diastolic||hypertension,
endpoint,inflammation_markers,Inflammation markers,CRP||TNF||IL-6||IL-1||cytokine||NF-?kB,
endpoint,oxidative_stress,Oxidative stress,oxidative stress||ROS||glutathione||MDA||antioxidant||Nrf2,
endpoint,mitochondrial_function,Mitochondrial function,mitochondrial||ATP||OXPHOS||respiration||PGC-1,
endpoint,safety_tolerability,Safety / tolerability,adverse event||safety||tolerability||nausea||vomiting||toxicity||well tolerated||discontinuation,
endpoint,pharmacokinetics,Pharmacokinetics,pharmacokinetic||bioavailability||half-life||AUC||Cmax||clearance,
endpoint,mortality_survival,Mortality / survival,mortality||survival||death||all-cause,
endpoint,muscle_performance,Muscle / performance,muscle mass||strength||endurance||grip||lean mass||hypertrophy,
mechanism,incretin_receptor,Incretin receptor,GLP-1||GIP||glucagon receptor||incretin||triagonist||dual agonist,
mechanism,nad_metabolism,NAD metabolism,NAD\+||NADH||nicotinamide||sirtuin||CD38||NMN||NR,
mechanism,mtor_autophagy,mTOR / autophagy,mTOR||TORC1||autophagy||mitophagy||lysosomal||LC3||beclin,
mechanism,redox_antioxidant,Redox / antioxidant,oxidative stress||redox||ROS||antioxidant||glutathione||Nrf2,
mechanism,mitochondrial,Mitochondrial,mitochondria||mitochondrial||OXPHOS||electron transport||biogenesis,
mechanism,inflammation,Inflammation signaling,NF-?kB||inflammasome||NLRP3||cytokine||TNF||macrophage,
mechanism,senescence,Senescence,senescence||senolytic||SASP||p16||p21,
mechanism,ampk_metabolic,AMPK / metabolic,AMPK||insulin signaling||PPAR||PI3K||AKT||ERK,
mechanism,receptor_signaling,Receptor signaling,receptor||agonist||antagonist||signaling||GPCR||nuclear receptor,
route,oral,Oral,oral||orally||per os||gavage,
route,subcutaneous,Subcutaneous,subcutaneous||subcutaneously||s\.c\.||subQ,
route,intravenous,Intravenous,intravenous||intravenously||i\.v\.,
route,intraperitoneal,Intraperitoneal,intraperitoneal||i\.p\.||intraperitoneally,
route,topical,Topical,topical||topically||cutaneous,
route,inhaled,Inhaled,inhaled||inhalation||intranasal||nasal,
drug_class,glp1_agonist,GLP-1 agonist,GLP-1||GLP1||glucagon-like peptide-1||semaglutide||liraglutide||dulaglutide||exenatide||orforglipron||danuglipron,
drug_class,gip_agonist,GIP agonist,GIP||glucose-dependent insulinotropic||dual agonist||twincretin,
drug_class,glucagon_agonist,Glucagon agonist,glucagon receptor agonist||glucagon agonist||glucagon dual agonist||glucagon/glp||glp-1/glucagon||triagonist||tri-agonist||survodutide||mazdutide||pemvidutide||GCGR,
drug_class,amylin_analog,Amylin analog,amylin||amylin analog||cagrilintide||pramlintide||amylin receptor,
drug_class,sglt2_inhibitor,SGLT2 inhibitor,SGLT2||SGLT-2||sodium-glucose||empagliflozin||dapagliflozin||canagliflozin||gliflozin,
drug_class,mito_err_agonist,Mitochondrial / ERR agonist,ERR agonist||estrogen-related receptor||mitochondrial biogenesis agonist||SLU-PP-332,
drug_class,nad_precursor,NAD precursor,NAD precursor||nicotinamide mononucleotide||nicotinamide riboside||NMN||nicotinamide,
drug_class,senolytic,Senolytic,senolytic||senotherapeutic||dasatinib and quercetin||fisetin||navitoclax||FOXO4-DRI,
drug_class,peptide_hormone,Peptide hormone,peptide hormone||growth hormone||GHRH||ghrelin||kisspeptin||melanocortin||IGF-1||somatostatin,
drug_class,mtor_inhibitor,mTOR inhibitor,rapamycin||sirolimus||mTOR inhibitor||rapalog||everolimus,
drug_class,myostatin_inhibitor,Myostatin inhibitor,myostatin||follistatin||activin||bimagrumab||GDF-8||GDF-11,
population,older_adults,Older adults,older adults||elderly||aged\s+\d+\s+years||geriatric||aging population||nonagenarian||octogenarian,
population,pediatric,Pediatric,pediatric||paediatric||children||adolescent||infant||neonat||childhood,
population,women_pregnancy,Women / pregnancy,pregnan||gestational||postpartum||lactation||menopaus||premenopausal||postmenopausal||women with pcos||polycystic ovary,
population,male,Male participants,\bmen\b||male participants||male patients||male subjects,
population,comorbid_metabolic,Metabolic comorbidity,type 2 diabetes||obese patients||metabolic syndrome||prediabetes||insulin resistance,
population,comorbid_cardiorenal,Cardiorenal comorbidity,heart failure||chronic kidney disease||CKD||established cardiovascular disease||post-myocardial,
sex,female,Female,\bfemale\b||\bwomen\b||\bfemales\b||ovariectomized,
sex,male,Male,\bmale\b||\bmen\b||\bmales\b||orchiectomized||castrated,
sex,both_sexes,Both sexes,both sexes||men and women||male and female||both male and female,
formulation,oral_peptide,Oral peptide,oral peptide||oral formulation||orally bioavailable||oral semaglutide||SNAC,
formulation,long_acting,Long-acting / weekly,long-acting||once-weekly||once weekly||weekly dosing||sustained-release||depot||extended-release,
formulation,nanoparticle,Nanoparticle / delivery,nanoparticle||liposome||lipid nanoparticle||\bLNP\b||micelle||encapsulat||nanocarrier,
evidence_direction,positive,Positive / beneficial,significantly improved||beneficial effect||reduced body weight||improved outcomes||efficacious||positive effect,
evidence_direction,null,Null / no effect,no significant difference||no significant effect||did not improve||failed to||no effect observed||neutral effect,
evidence_direction,mixed,Mixed,mixed results||mixed findings||inconsistent||heterogeneous effect||partial improvement,
evidence_direction,adverse,Adverse / harmful,harmful||worsened||increased mortality||increased risk of||led to discontinuation||dose-limiting toxicity||toxic effect||deleterious||worse than,reflects stated finding direction; excludes routine "adverse events" safety-section mentions
