category_key,category_label,value,display,definition
population,Population,male,Male participants,Focused on male participants.
population,Population,comorbid_metabolic,Metabolic conditions,Participants who also had conditions like obesity or type 2 diabetes.
population,Population,comorbid_cardiorenal,Heart / kidney conditions,Participants who also had heart or kidney disease.
indication,Condition / use,obesity_weight,Obesity / weight,Related to body weight overweight or obesity.
indication,Condition / use,diabetes_glycemic,Diabetes / blood sugar,Related to diabetes or blood-sugar control.
indication,Condition / use,liver_mash,Liver (MASH/NASH),Related to fatty liver disease.
indication,Condition / use,cardiovascular,Heart / circulation,Related to the heart blood vessels or blood pressure.
indication,Condition / use,kidney,Kidney,Related to kidney function or disease.
indication,Condition / use,neurocognitive,Brain / mood,Related to memory cognition or mood (e.g. anxiety depression Alzheimer's).
indication,Condition / use,oncology,Cancer,Related to cancer or tumors.
indication,Condition / use,musculoskeletal,Muscle / bone,Related to muscle bone joints or tendons.
indication,Condition / use,inflammation_autoimmune,Inflammation / autoimmune,Related to inflammation or immune-system disorders.
indication,Condition / use,reproductive,Reproductive,Related to fertility hormones or reproductive health.
indication,Condition / use,injury_repair,Injury / healing,Related to wounds injury or tissue repair.
indication,Condition / use,infectious_immunity,Infection / immunity,Related to infections or the immune response.
indication,Condition / use,aging_longevity,Aging / longevity,Related to aging lifespan or healthspan.
endpoint,What was measured,body_weight,Body weight,Change in weight BMI or body fat.
endpoint,What was measured,glycemic_control,Blood-sugar control,Measures of blood sugar such as HbA1c or fasting glucose.
endpoint,What was measured,lipids,Cholesterol / lipids,Blood fats such as cholesterol and triglycerides.
endpoint,What was measured,liver_histology,Liver health,Liver enzymes fat or scarring seen on tests or biopsy.
endpoint,What was measured,blood_pressure,Blood pressure,Systolic and diastolic blood-pressure readings.
endpoint,What was measured,inflammation_markers,Inflammation markers,Blood signals of inflammation such as CRP or IL-6.
endpoint,What was measured,oxidative_stress,Oxidative stress,Markers of cell damage from reactive molecules (and antioxidant defenses).
endpoint,What was measured,mitochondrial_function,Mitochondrial function,How well cells' energy-producing mitochondria are working.
endpoint,What was measured,safety_tolerability,Safety / side effects,Adverse events tolerability and how well the treatment was tolerated.
endpoint,What was measured,pharmacokinetics,Drug levels (PK),How the body absorbs and clears the drug (blood levels half-life).
endpoint,What was measured,mortality_survival,Survival,Death rates or how long participants survived.
endpoint,What was measured,muscle_performance,Muscle / strength,Muscle mass strength or physical performance.
drug_class,Drug class,glp1_agonist,GLP-1 agonist,Mimics the gut hormone GLP-1 to curb appetite and improve blood sugar (e.g. semaglutide).
drug_class,Drug class,gip_agonist,GIP agonist,Acts on the GIP hormone pathway — often combined with GLP-1 for weight and glucose.
drug_class,Drug class,glucagon_agonist,Glucagon agonist,Acts on the glucagon pathway to raise energy expenditure — part of some triple agonists.
drug_class,Drug class,amylin_analog,Amylin analog,Mimics the hormone amylin to increase fullness and slow stomach emptying.
drug_class,Drug class,sglt2_inhibitor,SGLT2 inhibitor,Makes the kidneys flush out excess sugar — used for diabetes and heart/kidney protection.
drug_class,Drug class,mito_err_agonist,Mitochondrial / ERR agonist,Targets cellular energy pathways (mitochondria / ERR receptors).
drug_class,Drug class,nad_precursor,NAD precursor,A building block the body turns into NAD+ a molecule central to cell energy and aging research.
drug_class,Drug class,senolytic,Senolytic,Aims to clear worn-out ('senescent') cells thought to drive aging.
drug_class,Drug class,peptide_hormone,Peptide hormone,A small protein-like molecule that acts as a signaling hormone.
drug_class,Drug class,mtor_inhibitor,mTOR inhibitor,Dials down the mTOR growth pathway — studied for aging and metabolism.
drug_class,Drug class,myostatin_inhibitor,Myostatin inhibitor,Blocks myostatin a brake on muscle growth — studied for muscle wasting.
formulation,Formulation,oral_peptide,Oral peptide,A peptide drug engineered to survive digestion so it can be taken as a pill.
formulation,Formulation,long_acting,Long-acting / weekly,Designed to last long enough for weekly (or less frequent) dosing.
formulation,Formulation,nanoparticle,Nanoparticle delivery,Uses tiny engineered particles to carry the drug to where it is needed.
evidence_direction,Result direction,positive,Positive / beneficial,The study reported a beneficial effect.
evidence_direction,Result direction,null,No effect,The study found no meaningful effect.
evidence_direction,Result direction,mixed,Mixed,Results were mixed — beneficial on some measures not others.
evidence_direction,Result direction,adverse,Adverse / harmful,The study reported a harmful or negative effect.
terms,Common terms & abbreviations,hba1c,HbA1c,A blood test showing average blood sugar over the past 2-3 months; the standard measure of long-term diabetes control.
terms,Common terms & abbreviations,bmi,BMI (body mass index),Weight relative to height; a rough screen for underweight overweight and obesity.
terms,Common terms & abbreviations,rct,RCT (randomized controlled trial),A study that randomly assigns people to treatment or control — the strongest test of whether a treatment works.
terms,Common terms & abbreviations,placebo,Placebo,A dummy treatment with no active drug used for comparison so real effects can be told apart from expectation.
terms,Common terms & abbreviations,crp,CRP (C-reactive protein),A blood marker of inflammation in the body.
terms,Common terms & abbreviations,ros,ROS (reactive oxygen species),Unstable molecules that can damage cells; part of oxidative stress.
terms,Common terms & abbreviations,rcr,RCR (Relative Citation Ratio),How often a paper is cited compared with others in its field; 1.0 is average.
terms,Common terms & abbreviations,icite,iCite,An NIH tool that provides citation-impact and clinical-influence signals for papers.
terms,Common terms & abbreviations,pk,PK (pharmacokinetics),How the body absorbs distributes and clears a drug over time.
terms,Common terms & abbreviations,percentile,Percentile,A 0-100 ranking; e.g. the 90th percentile means higher than 90% of comparable items.
terms,Common terms & abbreviations,biomarker,Biomarker,A measurable biological signal (in blood or tissue) used to track health or a drug's effect.
terms,Common terms & abbreviations,meta_analysis,Meta-analysis,A study that statistically combines results from many studies into one overall estimate.
terms,Common terms & abbreviations,doi,DOI,A permanent identifier link that always points to a specific paper.
terms,Common terms & abbreviations,pmid,PMID,A paper's ID number in PubMed the main biomedical literature database.
