evidence_id,pmid,molecule_id,stratum,title,review_status,reviewer,reviewed_on,review_basis,notes
42083458:glutathione:glutathione_strict_tiab_v1,42083458,glutathione,Animal in vivo,Glycerolphosphorylethanolamine and Several Other Biochemical Amines Are Targets of Furan's Reactive Metabolite in Rodents.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation","Rodent/hepatocyte metabolite study; glutathione is a reaction component and biomarker context, not evidence of supplementation benefit."
42174621:metformin:metformin_strict_tiab_v1,42174621,metformin,Animal in vivo,Targeting C5AR1 disrupts complement-driven G0-phase maintenance and overcomes metabolic drug resistance in glioma.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Glioma cell/xenograft experiments plus human dataset analyses; inherited animal scope misses the human-data component. Requires experiment-level review.
42010206:glutathione:glutathione_strict_tiab_v1,42010206,glutathione,Animal in vivo,"The Potentials of Stem Cell-Derived Exosomal MicroRNAs in Ferroptosis Modulation: Molecular Insights into Hepatoprotection, Neuroprotection, Cardioprotection, Renoprotection and Pulmonoprotection.",agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Abstract explicitly describes a review despite legacy Animal in vivo type; avoid asserting a primary animal experiment.
40857106:tirzepatide:tirzepatide_strict_tiab_v1,40857106,tirzepatide,Animal in vivo,Incretin receptor agonism rapidly inhibits AgRP neurons to suppress food intake in mice.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Mouse neural mechanism study; background clinical obesity treatments do not establish an obesity patient study.
40829393:glutathione:glutathione_strict_tiab_v1,40829393,glutathione,In vitro / cell,Rice phyllosphere bacteria mediates beneficial responses to pesticide stress.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Rice/phyllosphere pesticide study; non-biomedical scope should be reviewed for exclusion from main map; glutathione enzyme mention is indirect.
40071078:methylene_blue:methylene_blue_strict_tiab_v1,40071078,methylene_blue,In vitro / cell,Simultaneous Application of Methylene Blue and Chlorin e6 Photosensitizers: Investigation on a Cell Culture.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",HeLa culture photosensitizer experiment; cell culture system supported; do not infer clinical efficacy.
41942228:quercetin:quercetin_strict_tiab_v1,41942228,quercetin,In vitro / cell,"Three novel flavonoid glycosides from Zanthoxylum bungeanum: Isolation, identification and in vitro metabolism by intestinal microbiota for potential food development.",agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation","Compound isolation, cell toxicity and microbiota fermentation; several nonclinical systems and non-target compounds need role-aware handling."
40100492:gdf_11:gdf_11_strict_tiab_v1,40100492,gdf_11,In vitro / cell,GDF11 Regulates M1 and M2 Polarization of BV2 Microglial Cells via p38 MAPK Signaling Pathway.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",BV2 microglial cell experiments; no living-human evidence. Expand inflammation and cellular outcomes.
40126144:glutathione:glutathione_strict_tiab_v1,40126144,glutathione,In vitro / cell,Direct Effects of Waterpipe Smoke Extract on Aortic Endothelial Cells: An In Vitro Study.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human-derived endothelial cell lines; distinguish human species origin from clinical scope; glutathione is a readout.
39364571:quercetin:quercetin_strict_tiab_v1,39364571,quercetin,In vitro / cell,"Targeting insulin resistance: myricetin and isorhamnetin from Hardwickia binata , and luteolin from Hedysarum alpinum enhance glucose uptake and AMPK signaling in HepG2 cells.",agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation","Cell-based glucose uptake study; T2DM is a possible application, not a tested diabetic population. Potential-use guard needed."
41948727:quercetin:quercetin_strict_tiab_v1,41948727,quercetin,Systematic review / Meta-analysis,Mechanisms of active metabolites from traditional Chinese medicine in osteoarthritis: a critical review.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation","Review includes in-vitro, in-vivo and clinical studies; mixed scope. Slash legacy category does not prove that statistical pooling occurred."
41999721:dasatinib:dasatinib_strict_tiab_v1,41999721,dasatinib,Systematic review / Meta-analysis,Sex-specific autosomal susceptibility loci in systemic sclerosis: a genome-wide association study.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human GWAS meta-analysis and repurposing analysis; statistical pooling does not establish an intervention trial or therapeutic effect.
40978810:tirzepatide:tirzepatide_strict_tiab_v1,40978810,tirzepatide,Systematic review / Meta-analysis,Glucagon-like peptide-1 receptor agonists and obesity paradox in heart failure with preserved ejection fraction: a systematic review.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human systematic review of HFpEF studies; unstructured inclusion wording establishes human scope. Outcomes not yet exhaustively extracted.
40685889:tirzepatide:tirzepatide_strict_tiab_v1,40685889,tirzepatide,Systematic review / Meta-analysis,Exploring the Efficacy and Safety of Tirzepatide in Obesity Management and Cardiometabolic Risk Factors: A Comprehensive Systematic Review and Meta-Analysis.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human obesity synthesis; includes trials with or without T2DM. Do not turn the eligibility qualifier into a universal studied-diabetes assertion.
42158138:glutathione:glutathione_strict_tiab_v1,42158138,glutathione,Systematic review / Meta-analysis,Ferroptosis inhibition as a renoprotective strategy in cisplatin-induced acute kidney injury: multilevel meta-analysis of mechanistic biomarkers.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Preclinical meta-analysis; background patient frequency must not promote this to human evidence.
42072227:metformin:metformin_strict_tiab_v1,42072227,metformin,Systematic review / Meta-analysis,Cellular Senescence of Lens Epithelial Cells and Age-Related Cataract: A Systematic Review.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Review combines patient observations and in-vitro lens models; mixed scope supported.
39344219:nadh:nadh_strict_tiab_v1,39344219,nadh,Review / narrative,Advancements in NADH Oxidase Nanozymes: Bridging Nanotechnology and Biomedical Applications.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Narrative nanozyme overview; broad biomedical applications are topics. No primary study population assigned.
41390101:nicotinamide_riboside:nicotinamide_riboside_strict_tiab_v1,41390101,nicotinamide_riboside,Review / narrative,Comparison of anti-aging effect of PQQ (Pyrroloquinoline quinone) and NMN/NR (Nicotinamide mononucleotide /Nicotinamide riboside) - possible combination use.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Narrative anti-aging comparison; proposed combination and patents do not establish tested clinical benefit.
41073187:rapamycin:rapamycin_strict_tiab_v1,41073187,rapamycin,Review / narrative,Novel therapies for axial spondyloarthritis and future directions.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Narrative therapy update including clinical and preclinical discussion; study scope unresolved rather than assumed human.
40034097:rapamycin:rapamycin_strict_tiab_v1,40034097,rapamycin,Review / narrative,Functions and Therapeutic Potentials of Long Noncoding RNA in Skeletal Muscle Atrophy and Dystrophy.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Narrative molecular-mechanism review; muscular dystrophy/atrophy topics are not a primary experimental population.
40186308:metformin:metformin_strict_tiab_v1,40186308,metformin,Review / narrative,White adipose tissue in type 2 diabetes and the effect of antidiabetic drugs.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Narrative WAT/T2D review; retain diabetes as a topic instead of studied-condition annotation.
40013359:metformin:metformin_strict_tiab_v1,40013359,metformin,Review / narrative,Transcytosis of LDL Across Arterial Endothelium: Mechanisms and Therapeutic Targets.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Narrative LDL transport review; compounds discussed as possible interventions need role distinctions.
40291608:metformin:metformin_strict_tiab_v1,40291608,metformin,Methods / Mechanistic,"A Pyroptosis-Related LncRNA Signature for Predicting Prognosis, Immune Features and Drug Sensitivity in Ovarian Cancer.",agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human TCGA analysis plus cell-line experiments; mixed scope. Ovarian cancer context supported; drug sensitivity is not a clinical drug trial.
42000603:quercetin:quercetin_strict_tiab_v1,42000603,quercetin,Methods / Mechanistic,Enzymes-assisted green ultrasonic extraction with UPLC-DAD quantification of phenolic compounds in chia seeds with a comparative evaluation based on geographical origins.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Extraction/quantification methodology in chia seeds; unresolved system and non-biomedical scope need curation.
41213651:quercetin:quercetin_strict_tiab_v1,41213651,quercetin,Methods / Mechanistic,Investigation of the Effect of Quercetin on the Accumulation of Ciprofloxacin Resistance in Staphylococcus aureus .,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Bacterial resistance experiment; add bacterial culture system and antimicrobial susceptibility outcomes; no human clinical evidence.
40243027:glutathione:glutathione_strict_tiab_v1,40243027,glutathione,Methods / Mechanistic,Dual-emission copper nanoclusters for hydrogen sulfide detection: a novel approach.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Environmental sulfide-detection assay using glutathione as reagent; should be reviewed as non-biomedical scope.
40185540:glutathione:glutathione_strict_tiab_v1,40185540,glutathione,Methods / Mechanistic,"Aminated polystyrene and DNA strand breaks in A549, Caco-2, THP-1 and U937 human cell lines.",agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human cell lines only; prevent living-human classification. Glutathione depletion is a readout.
41734764:vip:vip_strict_tiab_v1,41734764,vip,Methods / Mechanistic,VIPR1 acts as an enteric neural checkpoint that suppresses intestinal stem cell-driven epithelial regeneration and exacerbates colitis.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Genetic intestinal model with human intestinal models mentioned; species/system details cannot be fully resolved from the abstract.
41179268:tirzepatide:tirzepatide_strict_tiab_v1,41179268,tirzepatide,Case report / Case series,Tirzepatide-Induced Syndrome of Inappropriate Antidiuretic Hormone Secretion (SIADH) Presenting With Seizures.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human SIADH case after tirzepatide; background T2DM is not the patient diagnosis; add specific safety event terms.
41083372:metformin:metformin_strict_tiab_v1,41083372,metformin,Case report / Case series,Sintilimab-related fulminant autoimmune diabetes mellitus manifesting as diabetic ketoacidosis and rare insulin resistance: A case report and literature review.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human autoimmune diabetes case; do not label type 2 diabetes. Multiple treatments and phases need separate exposure records.
40786988:tirzepatide:tirzepatide_strict_tiab_v1,40786988,tirzepatide,Case report / Case series,Glucagon-Like Peptide 1 Agonist Use in an Adult With Cystic Fibrosis-Related Diabetes and Metabolic Syndrome.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human CFRD case; distinguish CFRD from type 2 diabetes. HbA1c and body-mass changes present but missed by starter patterns.
39954867:glutathione:glutathione_strict_tiab_v1,39954867,glutathione,Case report / Case series,Biallelic FDXR mutations induce ferroptosis in a rare mitochondrial disease with ataxia.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Patient observations and ex-vivo/cell-line experiments; unresolved/mixed scope requires experiment-level linking.
41404256:dasatinib:dasatinib_strict_tiab_v1,41404256,dasatinib,Case report / Case series,Recurrent Nasopharyngeal Chordoma Stabilized With Afatinib: A Case Report.,agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation","Human chordoma case; weight loss is a presenting symptom, not an established body-weight study endpoint. Remove that false measurement tag."
41218239:rapamycin:rapamycin_strict_tiab_v1,41218239,rapamycin,Case report / Case series,"Incidence, prevalence and treatment of patients with Epithelioid Haemangioendothelioma (EHE) in Canada: A Canadian Sarcoma Research and Clinical Collaboration (CanSaRCC) and Multi-pronged Canadian Research in Epithelioid Haemangioendothelioma (PRO_CARE EHE) study.",agent_screened_needs_curator_review,Codex,2026-09-12,"Local title and abstract; development sample, not held-out validation",Human EHE case series; add rare condition and survival outcomes; multiple treatments do not establish comparative efficacy.
