term_id,axis,value,label,definition,parents,inclusion_rule,exclusion_rule,example,counterexample,status,version
legacy_species:drosophila,legacy_species,drosophila,Drosophila,Legacy topic tag: Studied in fruit flies — used in basic biology and aging research.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions drosophila.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_species:c_elegans,legacy_species,c_elegans,C. elegans,Legacy topic tag: Studied in a tiny worm — used in basic biology and aging research.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions c. elegans.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_species:cell_line,legacy_species,cell_line,Cell line / in vitro,Legacy topic tag: Studied in cultured cells rather than a whole organism.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions cell line / in vitro.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:obesity_weight,legacy_indication,obesity_weight,Obesity / weight,Legacy topic tag: Related to body weight overweight or obesity.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions obesity / weight.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:diabetes_glycemic,legacy_indication,diabetes_glycemic,Diabetes / glycemic,Legacy topic tag: Related to diabetes or blood-sugar control.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions diabetes / glycemic.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:liver_mash,legacy_indication,liver_mash,Liver / MASH,Legacy topic tag: Related to fatty liver disease.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions liver / mash.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:cardiovascular,legacy_indication,cardiovascular,Cardiovascular,Legacy topic tag: Related to the heart blood vessels or blood pressure.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions cardiovascular.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:kidney,legacy_indication,kidney,Kidney / renal,Legacy topic tag: Related to kidney function or disease.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions kidney / renal.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:neurocognitive,legacy_indication,neurocognitive,Neuro / cognitive,Legacy topic tag: Related to memory cognition or mood (e.g. anxiety depression Alzheimer's).,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions neuro / cognitive.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:oncology,legacy_indication,oncology,Oncology,Legacy topic tag: Related to cancer or tumors.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions oncology.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:musculoskeletal,legacy_indication,musculoskeletal,Musculoskeletal,Legacy topic tag: Related to muscle bone joints or tendons.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions musculoskeletal.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:inflammation_autoimmune,legacy_indication,inflammation_autoimmune,Inflammation / autoimmune,Legacy topic tag: Related to inflammation or immune-system disorders.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions inflammation / autoimmune.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:reproductive,legacy_indication,reproductive,Reproductive,Legacy topic tag: Related to fertility hormones or reproductive health.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions reproductive.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:injury_repair,legacy_indication,injury_repair,Injury / repair,Legacy topic tag: Related to wounds injury or tissue repair.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions injury / repair.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:infectious_immunity,legacy_indication,infectious_immunity,Infectious / immunity,Legacy topic tag: Related to infections or the immune response.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions infectious / immunity.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_indication:aging_longevity,legacy_indication,aging_longevity,Aging / longevity,Legacy topic tag: Related to aging lifespan or healthspan.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions aging / longevity.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:body_weight,legacy_endpoint,body_weight,Body weight,Legacy topic tag: Change in weight BMI or body fat.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions body weight.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:glycemic_control,legacy_endpoint,glycemic_control,Glycemic control,Legacy topic tag: Measures of blood sugar such as HbA1c or fasting glucose.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions glycemic control.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:lipids,legacy_endpoint,lipids,Lipids / metabolic,Legacy topic tag: Blood fats such as cholesterol and triglycerides.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions lipids / metabolic.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:liver_histology,legacy_endpoint,liver_histology,Liver histology,Legacy topic tag: Liver enzymes fat or scarring seen on tests or biopsy.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions liver histology.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:blood_pressure,legacy_endpoint,blood_pressure,Blood pressure,Legacy topic tag: Systolic and diastolic blood-pressure readings.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions blood pressure.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:inflammation_markers,legacy_endpoint,inflammation_markers,Inflammation markers,Legacy topic tag: Blood signals of inflammation such as CRP or IL-6.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions inflammation markers.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:oxidative_stress,legacy_endpoint,oxidative_stress,Oxidative stress,Legacy topic tag: Markers of cell damage from reactive molecules (and antioxidant defenses).,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions oxidative stress.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:mitochondrial_function,legacy_endpoint,mitochondrial_function,Mitochondrial function,Legacy topic tag: How well cells' energy-producing mitochondria are working.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions mitochondrial function.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:safety_tolerability,legacy_endpoint,safety_tolerability,Safety / tolerability,Legacy topic tag: Adverse events tolerability and how well the treatment was tolerated.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions safety / tolerability.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:pharmacokinetics,legacy_endpoint,pharmacokinetics,Pharmacokinetics,Legacy topic tag: How the body absorbs and clears the drug (blood levels half-life).,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions pharmacokinetics.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:mortality_survival,legacy_endpoint,mortality_survival,Mortality / survival,Legacy topic tag: Death rates or how long participants survived.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions mortality / survival.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_endpoint:muscle_performance,legacy_endpoint,muscle_performance,Muscle / performance,Legacy topic tag: Muscle mass strength or physical performance.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions muscle / performance.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_mechanism:incretin_receptor,legacy_mechanism,incretin_receptor,Incretin receptor,Legacy topic tag: Incretin receptor.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions incretin receptor.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_mechanism:nad_metabolism,legacy_mechanism,nad_metabolism,NAD metabolism,Legacy topic tag: NAD metabolism.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions nad metabolism.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_mechanism:mtor_autophagy,legacy_mechanism,mtor_autophagy,mTOR / autophagy,Legacy topic tag: mTOR / autophagy.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions mtor / autophagy.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_mechanism:redox_antioxidant,legacy_mechanism,redox_antioxidant,Redox / antioxidant,Legacy topic tag: Redox / antioxidant.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions redox / antioxidant.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
legacy_mechanism:mitochondrial,legacy_mechanism,mitochondrial,Mitochondrial,Legacy topic tag: Mitochondrial.,,Existing FACETS.csv pattern or legacy structured tag matches.,"A topic match alone does not assert a studied condition, measured outcome, species of study, or treatment role.",The source mentions mitochondrial.,Treating a background mention as an experimentally tested relationship.,legacy_topic,1.0.0
